Geography,Geographic Area Name,Zipcode,Male,Female,Median age (years),Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Total housing units,Households Total,Households Mean income (dollars),Families - Median income (dollars),Families - Mean income (dollars),Married-couple families - Median income (dollars),Nonfamily households - Median income (dollars),Nonfamily households - Mean income (dollars),Total Workers 16 years and over,Workers Median age (years),Workers Native,Workers Foreign born,Workers Foreign born - Naturalized U.S. citizen,Workers Foreign born - Not a U.S. citizen,Speak language other than English,Workers Median earnings (dollars),Workers 16 years and over who did not work from home,Total MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS) Population 25 years and over with earnings,Total MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings!!Less than high school graduate,Tota - MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings!!High school graduate (includes equivalency),Total MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings!!Some college or associate's degree,Total - MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings Bachelor's degree,Total MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings!!Graduate or professional degree,Total Population,Total Disability ,Total Disability  Male,Total Disability Female,Total Disability  With a hearing difficulty,Total Disability  With a vision difficulty,Total Disability  With a cognitive difficulty,Total Disability  With an ambulatory difficulty,Total Disability  With a self-care difficulty,Total Disability With an independent living difficulty,Percent with a disability
860Z200US63825,ZCTA5 63825,63825,2250,1963,43.3,179,132,311,257,146,654,494,482,307,383,435,363,70,2061,1610,64259,68510,76674,74250,26651,33286,1836,42.5,100,0,0,0,1.9,33741,1759,33063,30900,28450,39138,55938,61932,4130,1053,654,399,255,216,447,440,169,281,25.5
860Z200US63826,ZCTA5 63826,63826,51,82,33.1,13,17,21,8,0,15,7,32,10,2,6,2,0,61,48,69863,,78759,,,52063,37,54.1,100,0,0,0,0,,37,,,,,,,133,28,12,16,2,18,16,16,6,8,21.1
860Z200US63827,ZCTA5 63827,63827,243,295,41.5,51,18,61,65,23,14,80,17,59,29,59,17,45,223,174,80465,91250,90048,100313,,60795,174,44.8,99.4,0.6,0,0.6,0.6,43523,174,44318,,42955,,48750,,538,116,33,83,54,21,46,85,51,65,21.6
860Z200US63828,ZCTA5 63828,63828,86,60,48.6,5,0,13,0,10,8,15,60,17,2,11,5,0,93,72,58801,80000,67539,84028,29500,49035,83,48.1,100,0,0,0,0,35990,82,36146,35625,35556,,,,146,38,31,7,26,11,10,19,7,12,26
860Z200US63829,ZCTA5 63829,63829,493,589,24.4,118,67,86,48,235,131,81,50,62,89,85,28,2,538,430,46279,44688,59656,62917,16336,21169,475,26.1,95.6,4.4,0,4.4,13.1,,460,31250,23864,30694,33750,35938,44167,1082,179,80,99,75,71,47,90,24,52,16.5
860Z200US63830,ZCTA5 63830,63830,3020,3295,38.5,437,274,488,383,608,703,783,766,405,466,715,225,62,3065,2596,66242,46280,83082,96316,31337,37776,2480,40.1,93.5,6.5,6.5,0,7.3,31914,2389,35605,15150,31364,33571,90433,46985,6209,1432,834,598,312,423,393,816,364,511,23.1
860Z200US63833,ZCTA5 63833,63833,53,94,63.8,0,9,4,1,0,2,9,42,4,11,57,8,0,116,83,65536,79000,84774,90804,40234,29714,62,49.6,100,0,0,0,0,45903,62,45833,,45950,45909,,,147,27,12,15,9,8,15,18,18,24,18.4
860Z200US63834,ZCTA5 63834,63834,3089,2129,43.2,154,216,337,387,287,667,802,687,524,349,517,227,64,1778,1608,57177,51818,73173,77321,22841,31362,1622,44.1,100,0,0,0,3,35404,1536,34066,19681,34764,39931,,,3876,666,281,385,144,184,230,412,180,381,17.2
860Z200US63837,ZCTA5 63837,63837,673,778,29.9,101,104,101,188,104,166,173,145,113,102,110,44,0,711,531,53685,48095,58343,58250,21838,34875,553,36.3,94.6,5.4,0,5.4,7.8,32056,530,35377,,35234,31917,42321,,1451,259,138,121,88,64,60,184,66,73,17.8
860Z200US63839,ZCTA5 63839,63839,151,156,39.4,15,24,26,28,6,33,44,61,15,9,41,5,0,167,142,125374,73750,201505,78661,24063,30811,131,43.4,93.9,6.1,0,6.1,6.1,38911,130,38911,27917,39583,38125,41250,,307,47,16,31,13,14,5,36,2,22,15.3
